n_steps,log10(n_steps),dx,E1_err,time,method
46,1.662757831681574,0.5,0.00095750780475807,0.0010006427764892578,marsiglio
115,2.060697840353612,0.2,6.53849553002656e-05,0.005998849868774414,marsiglio
230,2.361727836017593,0.1,8.767019099607042e-06,0.01700115203857422,marsiglio
1148,3.059941888061955,0.02,7.011458749506908e-08,0.36078357696533203,marsiglio
2296,3.3609718837259357,0.01,8.559075244063107e-09,1.8575067520141602,marsiglio
2551,3.40671045860979,0.009,6.518901024146981e-09,2.536836624145508,marsiglio
2869,3.4577305482459986,0.008,4.832344008328771e-09,3.1673083305358887,marsiglio
3279,3.515741416669365,0.007,4.042760164620991e-09,4.42598295211792,marsiglio
3826,3.582744965691277,0.006,1.6076276171401675e-09,6.433728218078613,marsiglio
4590,3.661812685537261,0.005,8.238898801027561e-10,10.485795021057129,marsiglio
46,1.662757831681574,0.5,0.015197380828615159,0.003996610641479492,numerov
115,2.060697840353612,0.2,0.0026432142782285154,0.007000923156738281,numerov
230,2.361727836017593,0.1,0.0006697861658310606,0.016000032424926758,numerov
1148,3.059941888061955,0.02,2.6910173249002948e-05,0.5020294189453125,numerov
2296,3.3609718837259357,0.01,6.728621247337902e-06,2.472249984741211,numerov
2551,3.40671045860979,0.009,0.0003891221862418137,3.269442319869995,numerov
2869,3.4577305482459986,0.008,4.306203266071436e-06,3.9163336753845215,numerov
3279,3.515741416669365,0.007,0.00013121251272790992,6.276998281478882,numerov
3826,3.582744965691277,0.006,2.422044287475381e-06,7.885138750076294,numerov
4590,3.661812685537261,0.005,1.6821476704876715e-06,12.634649753570557,numerov
